ticker,horizon_days,compression_threshold_pct,is_primary_spec,group_n_treatment,group_n_control,group_mean_treatment,group_mean_control,group_mean_difference,group_welch_p_value,welch_reject_bh,group_mannwhitney_p_value,mannwhitney_reject_bh,prob_p_conditional,prob_p_unconditional,prob_probability_difference,prob_probability_ratio
SPY,10,10,False,234,4918,0.017288,0.024004,-0.006716,8.134719403289123e-13,True,0.0005742259533048759,True,0.128205,0.259705,-0.1315,0.493657
SPY,10,20,False,606,4546,0.018508,0.024391,-0.005883,8.238229479269678e-18,True,4.235190635465701e-05,True,0.165017,0.259705,-0.094688,0.6354
SPY,10,30,False,1067,4085,0.019163,0.024884,-0.005722,2.8313177702217337e-20,True,6.576304236491517e-07,True,0.180881,0.259705,-0.078824,0.696486
SPY,20,10,False,234,4908,0.025971,0.034909,-0.008938,6.808641326573904e-13,True,0.0012461412034864713,True,0.128205,0.260988,-0.132783,0.49123
SPY,20,20,True,606,4536,0.028968,0.035241,-0.006273,4.846090761759049e-11,True,0.017583064676551158,True,0.173267,0.260988,-0.087721,0.66389
SPY,20,30,False,1067,4075,0.029186,0.035894,-0.006708,8.874694113944289e-16,True,0.0011203477072268143,True,0.179007,0.260988,-0.081981,0.685881
QQQ,10,10,False,238,4914,0.024175,0.030077,-0.005902,1.996255317733829e-06,True,0.008665173610580246,True,0.189076,0.256405,-0.06733,0.737409
QQQ,10,20,False,515,4637,0.027145,0.030099,-0.002954,0.002951520189415039,True,0.27539052656443164,False,0.231068,0.256405,-0.025337,0.901183
QQQ,10,30,False,904,4248,0.02649,0.030509,-0.00402,3.2483624779560167e-07,True,0.020264400010623556,True,0.209071,0.256405,-0.047334,0.815392
QQQ,20,10,False,238,4904,0.037605,0.043447,-0.005842,0.00157267872669716,True,0.08448904945256815,False,0.235294,0.255737,-0.020443,0.920063
QQQ,20,20,False,515,4627,0.037509,0.043808,-0.006299,1.7299294570276401e-06,True,0.009002780935745353,True,0.213592,0.255737,-0.042145,0.835202
QQQ,20,30,False,904,4238,0.037392,0.044411,-0.007019,2.7476746421090622e-11,True,0.0005615430789284898,True,0.19469,0.255737,-0.061047,0.761291
