ticker,strategy,n_trades,win_rate,avg_net_pnl,median_net_pnl,std_net_pnl,return_on_premium_mean,max_drawdown,cvar_5pct,longest_losing_streak,annualized_trade_count,total_premium_spent,total_net_pnl
SPY,A_unconditional,378,0.4471,-63.8357,-129.2993,1202.7319,-0.0144,-48720.4896,-2031.3265,23,50.3151,615785.5,-24129.8846
SPY,A_unconditional_gross_no_costs,378,0.4471,-62.5357,-127.9993,1202.7319,-0.0144,-48336.9896,-2030.0265,23,50.3151,615785.5,-23638.4846
SPY,B_compression_rule,46,0.3696,-380.6476,-449.0496,757.0552,-0.2131,-19161.2905,,6,6.8578,61985.0,-17509.7902
SPY,B_compression_rule_gross_no_costs,46,0.3696,-379.3476,-447.7496,757.0552,-0.2131,-19107.9905,,6,6.8578,61985.0,-17449.9902
SPY,C_probability_filtered,234,0.4573,-67.7914,-117.3013,1114.7905,-0.0274,-27104.3929,-2085.7586,14,32.131,399753.0,-15863.1921
SPY,C_probability_filtered_gross_no_costs,234,0.4573,-66.4914,-116.0013,1114.7905,-0.0274,-26859.9929,-2084.4586,14,32.131,399753.0,-15558.9921
QQQ,A_unconditional,378,0.463,-79.9416,-121.8004,1332.5314,0.0016,-54440.2157,-2433.4054,17,50.3151,662532.5,-30217.9219
QQQ,A_unconditional_gross_no_costs,378,0.463,-78.6416,-120.5004,1332.5314,0.0016,-54071.0157,-2432.1054,17,50.3151,662532.5,-29726.5219
QQQ,B_compression_rule,52,0.4423,-181.598,-220.2991,959.5474,-0.037,-12870.3,,5,7.5579,76067.5,-9443.0971
QQQ,B_compression_rule_gross_no_costs,52,0.4423,-180.298,-218.9991,959.5474,-0.037,-12843.0,,5,7.5579,76067.5,-9375.4971
QQQ,C_probability_filtered,172,0.4884,47.386,-52.0502,1629.2532,0.1074,-18315.902,-2838.5778,9,22.8947,312215.0,8150.3846
QQQ,C_probability_filtered_gross_no_costs,172,0.4884,48.686,-50.7502,1629.2532,0.1074,-18305.502,-2837.2778,9,22.8947,312215.0,8373.9846
